source_id,company,cnpj,phone,city,state,region,country,address,neighborhood,contact,sector
143,ACO-BRAS INDUSTRIA E COMERCIO LTDA,04.883.969/0001-09,85-38781301,FORTALEZA,CE,NE,BR,RUA DEOCLECIANO CAVALCANTE 99,AEROPORTO,,NE
465,ANGELUCE HOLANDA BARROSO - ME,10.291.992/0001-07,85-3472-7602,FORTALEZA,CE,NE,BR,AV. CONSELHEIRO GOMES DE FREITAS 5000,SAPIRANGA,,NE
726,APIGUANA MAQUINAS E FERRAMENTAS LTDA,07.240.450/0001-09,3255-4111,FORTALEZA,CE,NE,BR,AV. DUQUE DE CAXIAS 901,CENTRO DE FORTALEZA,,NE
735,AR COMERCIO DE MADEIRAS LTDA,04.976.100/0001-09,85-3276-8276,EUSÉBIO,CE,NE,BR,AV EUSEBIO DE QUEIROZ 500,COACU,,NE
857,AURIPECAS AURILO PECAS LTDA,07.992.142/0001-21,85-4008-9000,FORTALEZA,CE,NE,BR,AV.PRESIDENTE CASTELO BRANCO 3782,CARLITO PAMPLONA,,NE
1043,BARJUD INDUSTRIA DE CONFECÇOES LTDA,01.958.192/0001-06,85-3262-3484,FORTALEZA,CE,NE,BR,AV. ENG. ALBERTO SA 540,PAPICU,,NE
1120,BOMACHE IND. E COM. DE ETIQUETAS LTDA,04.618.759/0001-93,85-3444-7029,FORTALEZA,CE,NE,BR,RUA DUARTE DA COSTA 393,MESSEJANA,,NE
1197,C & L INDUSTRIA DE PLASTICO LTDA,02.005.599/0001-81,85-3297-2199,MARACANAÚ,CE,NE,BR,AV PARQUE NORTE I 484,DISTRITO INDUSTRIAL,,NE
1216,C. ROLIM ENGENHARIA LTDA,35.094.382/0001-44,85-3242-6412,FORTALEZA,CE,NE,BR,RUA PEDRO BORGES 20,CENTRO DE FORTALEZA,,NE
1360,CARROPEL CARROCERIAS PERY IND COM REP LT,73.554.537/0001-77,85-34973200,FORTALEZA,CE,NE,BR,AV.GAL.OSORIO DE PAIVA 4500,CANINDEZINHO,,NE
1394,CAVALCANTE CAMELO FABRICA DE CAMAS LTDA ME,12.528.134/0001-69,85-3260-3318,EUSÉBIO,CE,NE,BR,"AV  EUSEBIO DE QUEIROZ, 6420",LAGOINHA,,NE
1551,CIALNE INDUSTRIA DE ALIMENTOS S.A.,11.072.849/0001-97,85-3477-2700,TERESINA,PI,NE,BR,ROD. BR 316 S/N,ZONA RURAL,,NE
1892,CONSORCIO MARQUISE/EIT,11.634.620/0001-07,88-3614-5881,SOBRAL,CE,NE,BR,"AV.JOHN SANFORD, 1500",JUNCO,,NE
1941,CONSTRUTORA MENDONCA AGUIAR LTDA,09.473.513/0001-94,85-3133-4437,FORTALEZA,CE,NE,BR,RUA VICENTE LINHARES 500,ALDEOTA,,NE
2043,CRISTIANE SABINO DA SILVA,01.302.854/0001-95,3463-2359,MARACANAÚ,CE,NE,BR,"RUA SAO RAIMUNDO, 131",PARQUE NOVO MONDUBIM,,NE
2162,DE UM TUDO COMERCIAL LTDA,03.357.261/0001-51,85-32562888,FORTALEZA,CE,NE,BR,AV LUCIANO CARNEIRO 721,FATIMA,,NE
2199,DESING INOX IND E COM DE PROD EM METAL,02.693.601/0001-52,85-3276-7938,FORTALEZA,CE,NE,BR,"RUA MANOEL ARRUDA, 1315",BARROSO,,NE
2227,DIEGO DE SOUZA DOI - ME,11.072.882/0001-17,85-3484-0477,FORTALEZA,CE,NE,BR,AV. AUGUSTO DOS ANJOS 1800,BOM SUCESSO,,NE
2359,DURAMETAL S/A,07.041.007/0001-09,85-4008-0400,MARACANAÚ,CE,NE,BR,AV PARQUE NORTE II 170,DISTRITO INDUSTRIAL,,NE
2391,E.V. ALBUQUERQUE METALURGICA,05.686.460/0001-39,85-3285-2101,CAUCAIA,CE,NE,BR,"ROD. BR. 222, 8417",PARQUE TABAPUA,,NE
2395,EBESA-EMPRESA BRAS. DE EQUIPAMENTOS S/A,23.560.717/0001-93,85-3236.1744,PACAJUS,CE,NE,BR,"ROD. BR 116, KM48 S/N",CENTRO DE PACAJUS,,NE
2683,ESPLANADA CONFEC. DO NORD. S/A ESPLANORD,07.155.310/0001-24,85-3288-2100,JIJOCA,CE,NE,BR,"AV. SARGENTO HERMINIO SAMPAIO, 3000",CENTRO,,NE
2799,F. BENICIO DE HOLANDA & CIA LTDA,06.599.211/0001-79,85-3226-3883,FORTALEZA,CE,NE,BR,"RUA VISCONDE SABOIA, 130",CENTRO DE FORTALEZA,,NE
2812,F. ESPEDITO VASCONCELOS EPP,41.563.396/0001-62,88-3664-1443,MARCO,CE,NE,BR,AV PREFEITO GUIDO OSTERNO 000,BARRO VERMELHO,,NE
3550,FRIOCEARA ARMAZEM FRIGORIFICOS LTDA,63.303.887/0001-07,85-34633333,MARACANAÚ,CE,NE,BR,RODOVIA QUARTO ANEL VIARIO S/N,DISTRITO INDUSTRIAL,,NE
3645,GEOBRASIL   LTDA,03.550.181/0001-18,3244-46.-46,FORTALEZA,CE,NE,BR,AV. SANTOS DUMONT 1740,CENTRO DE FORTALEZA,,NE
3811,GRENDENE S/A - MATRIZ,89.850.341/0001-60,88-3112-2999,SOBRAL,CE,NE,BR,"AV. PIMENTEL  GOMES, 214",EXPECTATIVA,,NE
3857,HNR NORDESTE COMPONETES INDUST. LTDA,07.580.546/0001-08,3878-7450,MARACANAÚ,CE,NE,BR,RUA CENTRAL 222,DISTRITO INDUSTRIAL,,NE
3921,HOPE NORDESTE LTDA,03.007.414/0001-30,85-30893000,MARANGUAPE,CE,NE,BR,RUA ARGEU BRAGA HERBSTER 610,CENTRO DE MARANGUAPE,,NE
4056,IND. METALURGICA DE CARLITO PAMPLONA LTDA,07.945.637/0001-08,3228-3455,FORTALEZA,CE,NE,BR,RUA FCO CALAÇA 1045,CRISTO REDENTOR,,NE
4163,ISOPLAST IND. E COM. DE PLASTICOS LTDA,72.273.436/0001-65,85-3215-2633,MARACANAÚ,CE,NE,BR,AV.PRQ COMERCIAL 251,PAJUCARA,,NE
4353,J.M. ZANATTA  CIA LTDA,92.366.442/0003-36,85-3064-0954,MARACANAÚ,CE,NE,BR,"ROD. CE 060, KM 08 08",TIMBÓ,,NE
5189,L.F COMERCIO E REPRESENTAÇÕES LTDA,04.490.623/0001-40,85-3257-9170,FORTALEZA,CE,NE,BR,RUA ADOLFO QUIXADA 41A,AEROLANDIA,,NE
5243,LDB TRANSPORTES DE CARGAS LTDA,09.411.448/0001-72,85 4012-5105,ITAITINGA,CE,NE,BR,RODOVIA FEDERAL BR 116 S/N,JABOTI,,NE
5283,LIGHT TRANSPORTES LTDA,05.111.990/0001-59,85-3250-2670,FORTALEZA,CE,NE,BR,RUA PAULO AMARAL 169,PEDRAS,,NE
5487,M M ALUMINIO IND E COM LTDA,08.229.161/0001-63,85-3293-1522,MARACANAÚ,CE,NE,BR,"RUA PAULO BATISTA, 266",PAJUÇARA,,NE
5625,MADEIREIRA MARINHO LTDA,05.152.740/0001-67,3498-5177,FORTALEZA,CE,NE,BR,"AV GAL OSORIO DE PAIVA, 7815",PARQUE SAO JOSE,,NE
5737,MARCIA SILVA NEVES CARNEIRO ME,02.047.533/0001-54,88-3664-1534,MARCO,CE,NE,BR,CE 179 S/N,DISTRITO INDUSTRIAL,,NE
6106,MELDICA IND E COM PROD NATUR E ALIM LTDA,03.615.680/0001-46,88-3561-2083,ICO,CE,NE,BR,"RUA FRANCISCO MORAES MOREIRA, 110",CONJUNTO CIDADE NOVA,,NE
6140,METALURGICA BRASIL IND.E COM. LTDA,11.059.565/0001-60,85-3260-0400,EUSÉBIO,CE,NE,BR,"AV. JOSÉ AMORA SA, 1320",DISTRITO INDUSTRIAL,,NE
6142,METALURGICA ENOCK JAIME DE MOURA LTDA,02.785.462/0001-97,85-3237-5555,CAUCAIA,CE,NE,BR,"ROD BR 020, KM 02 3471",PARQUE POTIRA,,NE
6200,MK INDUSTRIA E COMERCIO DE MOVEIS LTDA,01.580.913/0001-97,85-3290-2103,FORTALEZA,CE,NE,BR,"RUA NOEL ROSA, 427",HENRIQUE JORGE,,NE
6211,MOBILECOMM COMERCIO E SERVIÇOS LTDA ME,07.687.329/0001-11,85-3224-8690,FORTALEZA,CE,NE,BR,"AV. WASHINGTON SOARES, 2261",EDSON QUEIROZ,,NE
6219,MOISES DE SOUSA LIMA EPP - ME,73.909.202/0001-24,85-3273-2065,FORTALEZA,CE,NE,BR,RUA CIDADE ECOLÓGICA 837,EDSON QUEIROZ,,NE
44,A. FERREIRA IND. COM. E EXP LTDA,08.564.981/0001-01,84-33182365,MOSSORO,RN,NE,BR,RODOVIA BR 304 S/N,DISTRITO INDUSTRIAL,,NE
140,AÇO FORTE MÓVEIS E EQUIP. S/A,13.691.690/0001-14,85-3391-7400,MARACANAÚ,CE,NE,BR,VIA DE LIGAÇÃO I S/N,DISTRITO INDUSTRIAL,,NE
408,ANA C. D. CARDOSO DOS SANTOS - ME,09.056.067/0001-12,85 3496-8458,FORTALEZA,CE,NE,BR,RUA DIOGO CORREIA 262,JOAO XXIII,,NE
441,ANDRADE E ROCHA LTDA EPP,72.263.163/0001-78,85-3290-4049,FORTALEZA,CE,NE,BR,RUA ALUISIO AZEVEDO 379,PARANGABA,,NE
683,ANTONIO RENATO DUARTE DE MOURA LTDA,72.320.146/0001-25,85-3471- 2739,CAUCAIA,CE,NE,BR,MP DE CAUCAIA 459,ARATURI,,NE
725,APIGUANA MAQUINAS E FERRAMENTAS,07.240.450/0008-77,85-3255 4111,FORTALEZA,CE,NE,BR,AV.DUQUE DE CAXIAS 959,CENTRO DE FORTALEZA,,NE
806,ASFALTO NORDESTE LTDA,01.791.741/0001-09,85-3311 2844,MARACANAÚ,CE,NE,BR,AV. PARQUE SUL 1998,DISTRITO INDUSTRIAL,,NE
