Record Id,Account Owner.id,Account Owner,Rating,Account Name,Phone,Account Site,Fax,Parent Account.id,Parent Account,Website,Account Number,Ticker Symbol,Account Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,Last Activity Time,Change Log Time,Locked,Last Enriched Time,Enrich Status,Connected To.module,Connected To.id
zcrm_7083895000000581470,zcrm_7083895000000581282,Lucas Rocha,,SEATRIUM,+55 27 99884-5716,,,,,linkedin.com/in/kiryaaraujo/,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-24 10:00:36,2025-11-24 10:00:36,,,,,,,,,,,,2025-11-24 10:04:10,,false,,,,
zcrm_7083895000000581488,zcrm_7083895000000581282,Lucas Rocha,,Fortlev,+55 27 99659-1919,,,,,,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-24 10:01:34,2025-12-04 19:04:08,,,,,,,,,,,,2025-12-04 19:04:08,2025-12-04 19:04:08,false,,,,
zcrm_7083895000000609011,zcrm_7083895000000580001,Gustavo Zatta,,ALTUS,+55 11 2039-1950,,,,,https://www.linkedin.com/in/renato-souza-3147a74b/,0,,,,Empreendimento Pequeno/Médio,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-24 12:24:07,2025-11-30 21:16:50,,,,,,,,,,,,2025-12-22 10:58:41,2025-11-30 21:16:50,false,,,,
zcrm_7083895000000609089,zcrm_7083895000000581282,Lucas Rocha,,AUTOGLASS,,,,,,,0,,,,Empreendimento Pequeno/Médio,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-24 15:24:09,2025-11-24 15:24:09,,,,,,,,,,,,2025-12-11 11:21:23,,false,,,,
zcrm_7083895000000613032,zcrm_7083895000000581282,Lucas Rocha,,TRANSHIP TRANSPORTES MARÍTIMOS,,,,,,https://www.linkedin.com/in/fabianoapolinario/,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-25 15:47:17,2025-11-25 15:47:17,,,,,,,,,,,,2025-11-25 15:49:08,,false,,,,
zcrm_7083895000000613062,zcrm_7083895000000581282,Lucas Rocha,,BRAMETAL,,,,,,,0,,,,Empreendimento Pequeno/Médio,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-25 16:02:57,2025-11-25 16:02:57,,,,,,,,,,,,2025-12-18 10:03:20,,false,,,,
zcrm_7083895000000613244,zcrm_7083895000000581282,Lucas Rocha,,ENEVA,,,,,,,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-25 16:54:24,2025-11-25 16:54:24,,,,,,,,,,,,2025-11-27 17:37:39,,false,,,,
zcrm_7083895000000613270,zcrm_7083895000000581282,Lucas Rocha,,NOV,,,,,,http://www.nov.com,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-25 16:57:16,2025-11-25 17:36:31,,,,,,,,,,,,2025-12-11 11:20:23,2025-11-25 17:36:31,false,,,,
zcrm_7083895000000613348,zcrm_7083895000000581282,Lucas Rocha,,FORESEA,,,,,,foresea.com,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-25 17:08:27,2025-11-25 17:42:05,,,,,,,,,,,,2025-11-25 17:42:05,2025-11-25 17:42:05,false,,,,
zcrm_7083895000000613429,zcrm_7083895000000581282,Lucas Rocha,,SUBSEA7,,,,,,http://www.subsea7.com,0,,,,,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-25 17:39:49,2025-11-25 17:39:49,,,,,,,,,,,,2025-11-25 17:43:34,,false,,,,
zcrm_7083895000000613473,zcrm_7083895000000581282,Lucas Rocha,,SLB,,,,,,https://www.slb.com,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-25 17:45:18,2025-11-25 17:48:02,,,,,,,,,,,,2025-11-25 17:48:39,2025-11-25 17:48:02,false,,,,
