account_id,company_name,industry,city,state,country,website,zoho_id,source,company_id
zcrm_7083895000000581470,SEATRIUM,Grande Empreendimento,,,,linkedin.com/in/kiryaaraujo/,zcrm_7083895000000581470,zoho_accounts,1
zcrm_7083895000000581488,Fortlev,Grande Empreendimento,,,,,zcrm_7083895000000581488,zoho_accounts,2
zcrm_7083895000000609011,ALTUS,Empreendimento Pequeno/Médio,,,,https://www.linkedin.com/in/renato-souza-3147a74b/,zcrm_7083895000000609011,zoho_accounts,3
zcrm_7083895000000609089,AUTOGLASS,Empreendimento Pequeno/Médio,,,,,zcrm_7083895000000609089,zoho_accounts,4
zcrm_7083895000000613032,TRANSHIP TRANSPORTES MARÍTIMOS,Grande Empreendimento,,,,https://www.linkedin.com/in/fabianoapolinario/,zcrm_7083895000000613032,zoho_accounts,5
zcrm_7083895000000613062,BRAMETAL,Empreendimento Pequeno/Médio,,,,,zcrm_7083895000000613062,zoho_accounts,6
zcrm_7083895000000613244,ENEVA,Grande Empreendimento,,,,,zcrm_7083895000000613244,zoho_accounts,7
zcrm_7083895000000613270,NOV,Grande Empreendimento,,,,http://www.nov.com,zcrm_7083895000000613270,zoho_accounts,8
zcrm_7083895000000613348,FORESEA,Grande Empreendimento,,,,foresea.com,zcrm_7083895000000613348,zoho_accounts,9
zcrm_7083895000000613429,SUBSEA7,,,,,http://www.subsea7.com,zcrm_7083895000000613429,zoho_accounts,10
zcrm_7083895000000613473,SLB,Grande Empreendimento,,,,https://www.slb.com,zcrm_7083895000000613473,zoho_accounts,11
zcrm_7083895000000613527,SBM OFFSHORE,Oil & Gas,,,,https://www.linkedin.com/company/sbmoffshore/,zcrm_7083895000000613527,zoho_accounts,12
zcrm_7083895000000613557,OCEANPACT,Empreendimento Pequeno/Médio,,,,http://www.oceanpact.com,zcrm_7083895000000613557,zoho_accounts,13
zcrm_7083895000000613583,FIBRASA S.A.,Grande Empreendimento,,,,https://www.linkedin.com/company/fibrasa-s-a/,zcrm_7083895000000613583,zoho_accounts,14
zcrm_7083895000000625009,BRAVANTE,Empreendimento Pequeno/Médio,,,,https://www.linkedin.com/in/samuelacerda2908/,zcrm_7083895000000625009,zoho_accounts,15
zcrm_7083895000000625056,WILSON SONS,Empreendimento Pequeno/Médio,,,,,zcrm_7083895000000625056,zoho_accounts,16
zcrm_7083895000000657011,ARCELORMITTAL - PECÉM,Grande Empreendimento,,,,,zcrm_7083895000000657011,zoho_accounts,17
zcrm_7083895000000666024,ARCELORMITTAL - TUBARÃO,Grande Empreendimento,,,,,zcrm_7083895000000666024,zoho_accounts,18
zcrm_7083895000000672182,Imetame,Empreendimento Pequeno/Médio,,,,,zcrm_7083895000000672182,zoho_accounts,19
zcrm_7083895000000672218,VALE CARAJÁS,Grande Empreendimento,,,,,zcrm_7083895000000672218,zoho_accounts,20
zcrm_7083895000000683190,Biancogres,,,,,,zcrm_7083895000000683190,zoho_accounts,21
zcrm_7083895000000683249,Modec,,,,,,zcrm_7083895000000683249,zoho_accounts,22
zcrm_7083895000000698055,Real Café,,,,,,zcrm_7083895000000698055,zoho_accounts,23
zcrm_7083895000000698073,Zucchi Granitos,,,,,,zcrm_7083895000000698073,zoho_accounts,24
zcrm_7083895000000698091,Elkem,,,,,,zcrm_7083895000000698091,zoho_accounts,25
zcrm_7083895000000698134,Remazel,,,,,,zcrm_7083895000000698134,zoho_accounts,26
zcrm_7083895000000715051,Vports,Grande Empreendimento,,,,,zcrm_7083895000000715051,zoho_accounts,27
zcrm_7083895000000736010,Rockwell,,,,,,zcrm_7083895000000736010,zoho_accounts,28
zcrm_7083895000000744030,Gerdau,,,,,,zcrm_7083895000000744030,zoho_accounts,29
zcrm_7083895000000755056,PERFIL ALUMÍNIO DO BRASIL S.A.,Grande Empreendimento,,,,,zcrm_7083895000000755056,zoho_accounts,30
